Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      1     21     3464.8901      2958.6260         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000        12.1079         0.0000       -39.2864        27.1782       406.2669       400.6157         1.0971        16.0024         0.0521        18.6520        17.5396        23.0937         0.1470         0.1505         0.0000  -0.0055312458   0.0000000345   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     22     3464.8899      2958.6238         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0055         0.0000         0.0010         0.0000         0.1793         1.0000         9.4013         0.0000       -34.8367        25.4354       413.4353       407.7838         1.0859        21.5270         0.0521        18.7020        17.8496        23.0502         0.1469         0.1504         0.0000  -0.0055415975   0.0000000347   0.0000000000   0.0000000000   0.0000000000   0.5269851089
      1     23     3464.8894      2958.6216         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0000         0.1793         1.0000         7.6975         0.0000       -31.8825        24.1853       418.2411       414.9451         1.9339        26.0161         0.0521        18.7510        18.0623        23.0098         0.1468         0.1503         0.0804  -0.0325288177   0.0000000349   0.0285776779   0.5110096931   0.0000000000   0.5269851089
      1     24     3464.8879      2958.6182         0.0000         0.0000         0.0000         0.0000         0.0000         0.0002         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0019         0.1793         1.0000        -0.4422        -5.2867       -12.9780        18.7068       447.3325       450.0131         3.9990        51.3280         0.0521        19.1160        19.1506        22.9814         0.1467         0.1502         0.0804  -0.1366820782   0.0000000351   0.0656912476   0.5485533476   0.0000000000   0.5269851089
      1     25     3464.8821      2958.6104         0.0000         0.0000         0.0000         0.0000         0.0000         0.0005         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0049         0.1793         1.0000        -7.9148       -13.3814         6.9976        14.2989       476.4294       485.0838         6.1740        77.7090         0.0521        19.4810        20.0306        22.9626         0.1466         0.1501         0.0804  -0.4412666261   0.0000000353   0.1609791219   0.5820014477   0.0000000000   0.5269851089
      1     26     3464.8716      2958.5981         0.0000         0.0000         0.0000         0.0000         0.0000         0.0012         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0091         0.1793         1.0000       -16.6362       -24.6579        33.3501         7.9434       515.7417       525.8306         8.8309       105.1945         0.0521        20.0920        21.3228        22.9576         0.1464         0.1499         0.0776  -0.9852632880   0.0000000356   0.2752568722   0.5652680397   0.0000000000   0.5269851089
      1     27     3464.8562      2958.5808         0.0000         0.0000         0.0000         0.0000         0.0000         0.0018         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0139         0.1793         1.0000       -25.6584       -37.7767        62.3585         1.0770       559.0765       574.9391        11.3773       140.4702         0.0521        20.7040        22.7351        22.9672         0.1463         0.1498         0.0739  -1.4776337147   0.0000000358   0.3219601512   0.5479665399   0.0000000000   0.5269851089
      1     28     3464.8342      2958.5571         0.0000         0.0000         0.0000         0.0000         0.0000         0.0023         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0193         0.1793         1.0000       -37.0374       -52.4385        95.4597        -5.9837       607.7323       630.2519        13.8950       181.1056         0.0521        21.5610        24.2034        22.9918         0.1461         0.1497         0.0703  -1.8734786510   0.0000000361   0.3161176443   0.5756981373   0.0000000000   0.5269851089
      1     29     3464.8062      2958.5273         0.0000         0.0000         0.0000         0.0000         0.0000         0.0026         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0251         0.1793         1.0000       -48.8082       -68.1302       129.5035       -12.5651       657.0825       686.6121        16.2625       223.1933         0.0521        22.4180        25.5890        23.0302         0.1459         0.1496         0.0673  -2.1578872204   0.0000000364   0.2848844826   0.6019071937   0.0000000000   0.5269851089
      1     30     3464.7788      2958.4983         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0056         1.2100         0.0010         0.0244         0.1793         1.0000       -46.5679       -66.1580       124.4287       -11.7028       650.1760       683.2358        16.7291       222.1976         0.0521        22.4960        25.4503        23.0662         0.1457         0.1495         0.0709  -2.1888191700   0.0000000368   0.2836582959   0.6089797020   0.0000000000   0.5269851089
      1     31     3464.7529      2958.4700         0.0000         0.0000         0.0000         0.0000         0.0000         0.0027         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0236         0.1793         1.0000       -43.9642       -63.9984       118.7594       -10.7968       642.4937       677.8963        16.8308       219.2211         0.0521        22.5750        25.3002        23.0999         0.1455         0.1494         0.0743  -2.2006585598   0.0000000371   0.2825330794   0.6156572104   0.0000000000   0.5269851089
      1     32     3464.7275      2958.4429         0.0000         0.0000         0.0000         0.0000         0.0000         0.0026         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0226         0.1793         1.0000       -43.2631       -61.3803       114.0302        -9.3861       635.1986       672.2997        16.9012       216.2814         0.0521        22.4770        25.0429        23.1300         0.1454         0.1493         0.0772  -2.1793825626   0.0000000374   0.2870335877   0.6288200021   0.0000000000   0.5269851089
      1     33     3464.7031      2958.4165         0.0000         0.0000         0.0000         0.0000         0.0000         0.0026         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0216         0.1793         1.0000       -42.2241       -58.6262       108.8108        -7.9598       627.2838       664.6003        16.6659       211.2853         0.0521        22.3780        24.7786        23.1567         0.1452         0.1491         0.0790  -2.1471197605   0.0000000378   0.2929695249   0.6415014267   0.0000000000   0.5269851089
      1     34     3464.6689      2958.3804         0.0000         0.0000         0.0000         0.0000         0.0000         0.0029         0.0000         0.0001         0.0000        -0.0057         1.2100         0.0010         0.0310         0.1793         1.0000       -63.2646       -83.8880       164.1213       -16.9681       705.1736       753.5249        20.7946       278.4841         0.0521        23.1620        26.6728        23.2025         0.1450         0.1490         0.0741  -2.3830876350   0.0000000381   0.2380333543   0.6506655812   0.0000000000   0.5269851089
