Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR PSILCAN TOTSOILRES GSCAN GBHCAN WATCAPIL ROOTFRONT  
      0      0     3464.4426      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000      -999.0000
      3     58     3462.0032      2955.3110         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0082         1.2100         0.0065         0.0735         0.1791         1.0000      -102.9127      -193.5509       417.0704      -120.6065      1233.6249      1319.0220        35.6991       589.7610         0.0535        42.7120        55.9050        29.6180         0.1253         0.1333         0.0489  -2.4938509464   0.0000001262   0.0218337961   0.4445048869   0.0000000000   0.5534194112
      3     59     3461.9424      2955.2483         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0082         1.2100         0.0066         0.0577         0.1791         1.0000       -78.5309      -152.3568       334.4664      -103.5791      1105.3776      1181.9702        34.4297       496.0309         0.0535        41.6960        52.4099        29.8069         0.1250         0.1332         0.0576  -2.6372838020   0.0000001281   0.0248543918   0.4328187108   0.0000000000   0.5534194112
      3     60     3461.8906      2955.1948         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0082         1.2100         0.0068         0.0477         0.1791         1.0000       -71.2810      -126.2810       288.1902       -90.6280      1028.0630      1099.1166        32.5761       441.5982         0.0535        39.6080        49.7629        29.9651         0.1249         0.1331         0.0616  -2.7614989281   0.0000001298   0.0307068527   0.4252974987   0.0000000000   0.5534194112
      3     61     3461.8481      2955.1504         0.0000         0.0000         0.0000         0.0000         0.0000         0.0035         0.0000         0.0001         0.0000        -0.0083         1.2100         0.0069         0.0389         0.1791         1.0000       -63.0078      -103.2501       243.1990       -76.9408       951.1650      1015.7159        30.4121       387.5696         0.0535        37.5200        46.9174        30.0914         0.1247         0.1331         0.0656  -2.7924168110   0.0000001312   0.0368541107   0.4173295498   0.0000000000   0.5534194112
      3     62     3461.8010      2955.1011         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0083         1.2100         0.0075         0.0444         0.1791         1.0000       -60.2109      -117.6092       265.0784       -87.2586       997.1582      1059.4949        29.3276       409.6543         0.0535        39.9090        49.3268        30.2402         0.1245         0.1330         0.0609  -2.7357676029   0.0000001324   0.0305845123   0.4060326815   0.0000000000   0.5534194112
      3     63     3461.7488      2955.0474         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0083         1.2100         0.0077         0.0480         0.1791         1.0000       -58.9003      -126.8915       284.3387       -98.5468      1042.6177      1100.3221        28.5794       426.5983         0.0535        42.2990        51.9762        30.4135         0.1244         0.1330         0.0557  -2.5456008911   0.0000001338   0.0240037050   0.3949942291   0.0000000000   0.5534194112
      3     64     3461.7061      2955.0027         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0083         1.2100         0.0078         0.0397         0.1791         1.0000       -61.9996      -105.2813       251.7652       -84.4842       979.2219      1032.4620        27.8828       386.6329         0.0535        39.7680        49.0590        30.5538         0.1242         0.1329         0.0577  -2.7309372425   0.0000001353   0.0314339958   0.4129324555   0.0000000000   0.5534194112
      3     65     3461.6699      2954.9646         0.0000         0.0000         0.0000         0.0000         0.0000         0.0035         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0079         0.0324         0.1791         1.0000       -63.6166       -86.1342       219.6609       -69.9099       915.8050       963.5404        25.9991       346.1021         0.0535        37.2360        45.9908        30.6602         0.1241         0.1329         0.0598  -2.7651591301   0.0000001366   0.0393622853   0.4300336838   0.0000000000   0.5534194112
      3     66     3461.6355      2954.9285         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0080         0.0310         0.1791         1.0000       -59.5454       -82.4786       209.2980       -67.2744       899.7578       941.3917        24.0940       329.0841         0.0535        37.1290        45.5218        30.7602         0.1240         0.1328         0.0584  -2.7559750080   0.0000001377   0.0402908660   0.4242125452   0.0000000000   0.5534194112
      3     67     3461.6023      2954.8931         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0080         0.0296         0.1791         1.0000       -55.4289       -78.8469       198.8177       -64.5421       883.3561       918.8445        22.7565       311.7957         0.0535        37.0210        45.0242        30.8533         0.1238         0.1327         0.0572  -2.7490627766   0.0000001389   0.0410577878   0.4185065031   0.0000000000   0.5534194112
      3     68     3461.5718      2954.8608         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0081         0.0272         0.1791         1.0000       -49.1904       -72.5064       181.0491       -59.3523       853.9344       886.7509        21.9774       290.8354         0.0535        36.8600        43.9759        30.9343         0.1237         0.1327         0.0596  -2.7430841923   0.0000001400   0.0419252850   0.4179011881   0.0000000000   0.5534194112
      3     69     3461.5430      2954.8301         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0082         0.0249         0.1791         1.0000       -42.8457       -66.5158       163.4934       -54.1319       824.6853       855.1610        21.1294       270.4155         0.0535        36.7000        42.9073        31.0031         0.1236         0.1326         0.0624  -2.7361435890   0.0000001410   0.0428472571   0.4172388017   0.0000000000   0.5534194112
      3     70     3461.5203      2954.8057         0.0000         0.0000         0.0000         0.0000         0.0000         0.0034         0.0000         0.0001         0.0000        -0.0084         1.2100         0.0082         0.0195         0.1791         1.0000       -29.6209       -52.1841       121.4827       -39.6777       750.6208       771.8136        18.0876       217.1918         0.0535        35.2070        39.7823        31.0389         0.1235         0.1326         0.0654  -2.7008912563   0.0000001420   0.0495134741   0.4039567411   0.0000000000   0.5534194112
      3     71     3461.5015      2954.7849         0.0000         0.0000         0.0000         0.0000         0.0000         0.0033         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0083         0.0148         0.1791         1.0000       -16.5255       -39.6117        80.5812       -24.4437       677.0203       688.7148        14.5201       165.0087         0.0535        33.7150        36.4491        31.0403         0.1234         0.1325         0.0691  -2.6292176247   0.0000001429   0.0572942905   0.3885501027   0.0000000000   0.5534194112
      3     72     3461.4871      2954.7686         0.0000         0.0000         0.0000         0.0000         0.0000         0.0032         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0083         0.0119         0.1791         1.0000        -9.8889       -32.0651        56.8932       -14.9390       633.5048       642.1120        12.5916       137.0884         0.0535        32.6140        34.3476        31.0205         0.1234         0.1325         0.0748  -2.5397336483   0.0000001436   0.0643970370   0.3764733672   0.0000000000   0.5534194112
      3     73     3461.4736      2954.7537         0.0000         0.0000         0.0000         0.0000         0.0000         0.0031         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0083         0.0099         0.1791         1.0000        -6.2082       -26.6383        40.2996        -7.4533       601.7261       621.2594        11.2635       132.8686         0.0535        31.5130        32.6709        30.9843         0.1233         0.1324         0.0826  -2.4736254215   0.0000001443   0.0731963813   0.3661104441   0.0000000000   0.5534194112
      3     74     3461.4653      2954.7432         0.0000         0.0000         0.0000         0.0000         0.0000         0.0024         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0060         0.1791         1.0000         0.2616       -16.2128         7.1199         8.8312       536.7499       545.5900         7.3732        86.5358         0.0535        29.0910        29.0284        30.9120         0.1233         0.1324         0.0826  -1.9214857817   0.0000001450   0.0842298567   0.3212943673   0.0000000000   0.5534194112
      3     75     3461.4619      2954.7380         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0028         0.1791         1.0000         5.0662        -7.6667       -24.2458        26.8464       471.9969       469.9446         3.1878        41.8514         0.0535        26.6690        24.9649        30.7999         0.1232         0.1323         0.0826  -0.5879859328   0.0000001455   0.0339985788   0.2776209712   0.0000000000   0.5534194112
      3     76     3461.4592      2954.7334         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0022         0.1791         1.0000         8.9127        -6.0594       -32.4309        29.5773       457.5637       454.3866         1.2694        30.3764         0.0535        25.9930        24.2471        30.6831         0.1232         0.1322         0.0000  -0.0085115395   0.0000001459   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     77     3461.4578      2954.7300         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0015         0.1791         1.0000        13.2554        -4.0820       -41.6400        32.4664       441.6973       438.7930         1.2602        19.0602         0.0535        25.3180        23.4894        30.5614         0.1232         0.1322         0.0000  -0.0085190637   0.0000001463   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     78     3461.4565      2954.7268         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0013         0.1791         1.0000        14.0692        -3.4122       -42.9252        32.2684       439.6653       436.9241         1.2019        17.6332         0.0535        24.9860        23.4108        30.4417         0.1231         0.1321         0.0000  -0.0085263010   0.0000001467   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     79     3461.4548      2954.7236         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0010         0.1791         1.0000        14.4332        -2.6806       -44.0015        32.2490       437.6320       435.0425         1.2355        16.4037         0.0535        24.6540        23.2947        30.3236         0.1231         0.1321         0.0000  -0.0085334303   0.0000001471   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     80     3461.4541      2954.7207         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0011         0.1791         1.0000        13.3376        -2.9011       -44.3339        33.8974       434.0518       431.3003         1.2833        15.3722         0.0535        24.0490        22.8106        30.2032         0.1231         0.1320         0.0000  -0.0085404580   0.0000001474   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     81     3461.4524      2954.7175         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0085         1.2100         0.0084         0.0011         0.1791         1.0000        12.2167        -3.1035       -44.6531        35.5397       430.4961       427.5853         1.2813        14.3604         0.0535        23.4440        22.3255        30.0806         0.1230         0.1320         0.0000  -0.0085475035   0.0000001478   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     82     3461.4521      2954.7151         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0011         0.1791         1.0000        12.1324        -2.9190       -44.7101        35.4974       429.6843       426.7878         1.2327        14.1958         0.0535        23.3030        22.2115        29.9597         0.1230         0.1319         0.0000  -0.0085545564   0.0000001482   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     83     3461.4502      2954.7112         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0010         0.1791         1.0000        12.0388        -2.7376       -44.7668        35.4662       428.8685       425.9853         1.2341        14.0302         0.0535        23.1610        22.0967        29.8403         0.1230         0.1319         0.0000  -0.0085615693   0.0000001486   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     84     3461.4492      2954.7087         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0009         0.1791         1.0000        10.9394        -2.3630       -44.7115        36.1353       427.1844       424.3160         1.2523        13.8476         0.0535        22.8710        21.8283        29.7209         0.1230         0.1318         0.0000  -0.0085685709   0.0000001489   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     85     3461.4492      2954.7065         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0007         0.1791         1.0000         9.8666        -2.0041       -44.6619        36.7993       425.5053       422.6506         1.2499        13.6591         0.0535        22.5810        21.5609        29.6013         0.1229         0.1318         0.0000  -0.0085755102   0.0000001493   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     86     3461.4478      2954.7034         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0008         0.1791         1.0000        10.0531        -2.2916       -44.6740        36.9123       424.5489       421.5964         1.2290        13.4058         0.0535        22.4180        21.4155        29.4830         0.1229         0.1317         0.0000  -0.0085823713   0.0000001496   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     87     3461.4463      2954.7002         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0009         0.1791         1.0000        10.2277        -2.5740       -44.6851        37.0307       423.5948       420.5447         1.2244        13.1540         0.0535        22.2550        21.2702        29.3658         0.1229         0.1317         0.0000  -0.0085892659   0.0000001500   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     88     3461.4458      2954.6978         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0010         0.1791         1.0000        10.0121        -2.6155       -44.6610        37.2639       422.5263       419.4246         1.2228        12.9661         0.0535        22.0810        21.1005        29.2495         0.1229         0.1316         0.0000  -0.0085961893   0.0000001504   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     89     3461.4441      2954.6943         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0010         0.1791         1.0000         9.7965        -2.6560       -44.6367        37.4957       421.4674       418.3139         1.2178        12.7798         0.0535        21.9080        20.9319        29.1339         0.1228         0.1316         0.0000  -0.0086031184   0.0000001507   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     90     3461.4436      2954.6919         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0008         0.1791         1.0000         8.2288        -2.0719       -44.6328        38.4756       419.3243       416.2228         1.2360        12.5143         0.0535        21.5650        20.5982        29.0175         0.1228         0.1315         0.0000  -0.0086100334   0.0000001511   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     91     3461.4431      2954.6895         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0006         0.1791         1.0000         6.6895        -1.5151       -44.6283        39.4537       417.1859       414.1324         1.2322        12.2461         0.0535        21.2220        20.2640        28.9000         0.1228         0.1315         0.0000  -0.0086168684   0.0000001515   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     92     3461.4426      2954.6873         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0003         0.1791         1.0000         6.8318        -0.7882       -44.7771        38.7336       417.2770       414.4134         1.2010        12.3008         0.0535        21.1730        20.3056        28.7856         0.1227         0.1314         0.0000  -0.0086235916   0.0000001518   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     93     3461.4424      2954.6848         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0000         0.1791         1.0000         6.8731        -0.0424       -44.8904        38.0596       417.3640       414.6832         1.2189        12.3833         0.0535        21.1240        20.3400        28.6740         0.1227         0.1314         0.0000  -0.0086302031   0.0000001522   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     94     3461.4424      2954.6831         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0000         0.1791         1.0000         6.4795         0.0000       -44.6227        38.1429       416.8412       414.1732         1.2325        12.5854         0.0535        21.0470        20.2091        28.5634         0.1227         0.1313         0.0000  -0.0086367251   0.0000001525   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     95     3461.4426      2954.6814         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0000         0.1791         1.0000         6.0312         0.0000       -44.3070        38.2755       416.3127       413.6570         1.2245        12.8341         0.0535        20.9690        20.0684        28.4536         0.1227         0.1313         0.0000  -0.0086432248   0.0000001528   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      3     96     3461.4419      2954.6787         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0086         1.2100         0.0084         0.0000         0.1791         1.0000         5.2599         0.0000       -44.1209        38.8615       414.9968       412.3487         1.2305        12.8304         0.0535        20.7520        19.8279        28.3438         0.1226         0.1312         0.0000  -0.0086497096   0.0000001532   0.0000000000   0.0000000000   0.0000000000   0.5534194112
      4      1     3461.4426      2954.6777         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         4.4575         0.0000       -43.9192        39.4614       413.6827       411.0419         1.2397        12.8423         0.0542        20.5350        19.5843        28.2338         0.1226         0.1312         0.0000  -0.0086561646   0.0000001556   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      2     3461.4417      2954.6753         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         4.9089         0.0000       -43.9881        39.0790       413.4372       410.8040         1.2144        12.7441         0.0542        20.4760        19.5584        28.1258         0.1226         0.1311         0.0000  -0.0086626364   0.0000001559   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      3     3461.4419      2954.6733         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         5.3296         0.0000       -44.0453        38.7154       413.1918       410.5661         1.2179        12.6576         0.0542        20.4170        19.5304        28.0197         0.1226         0.1311         0.0000  -0.0086690839   0.0000001563   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      4     3461.4421      2954.6716         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         5.6393         0.0000       -43.8276        38.1879       413.5138       410.9165         1.2110        12.9521         0.0542        20.4550        19.5407        27.9160         0.1226         0.1310         0.0000  -0.0086755296   0.0000001566   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      5     3461.4414      2954.6692         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         5.9482         0.0000       -43.6145        37.6660       413.8372       411.2682         1.2092        13.2420         0.0542        20.4930        19.5522        27.8144         0.1225         0.1310         0.0000  -0.0086819595   0.0000001569   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      6     3461.4417      2954.6675         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.4536         0.0000       -43.6198        37.1660       413.8869       411.3205         1.2094        13.2467         0.0542        20.5050        19.5610        27.7150         0.1225         0.1310         0.0000  -0.0086883735   0.0000001573   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      7     3461.4417      2954.6658         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.9588         0.0000       -43.6304        36.6721       413.9357       411.3718         1.2093        13.2459         0.0542        20.5170        19.5706        27.6178         0.1225         0.1309         0.0000  -0.0086947791   0.0000001576   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      8     3461.4414      2954.6638         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.9234         0.0000       -43.4891        36.5661       413.6293       411.0559         1.2152        13.3318         0.0542        20.4730        19.4962        27.5217         0.1225         0.1309         0.0000  -0.0087011876   0.0000001580   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4      9     3461.4414      2954.6619         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.8804         0.0000       -43.3447        36.4646       413.3281       410.7454         1.2099        13.4218         0.0542        20.4300        19.4221        27.4268         0.1224         0.1308         0.0000  -0.0087075690   0.0000001583   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     10     3461.4412      2954.6597         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.8309         0.0000       -43.1510        36.3206       413.1527       410.5576         1.2061        13.5768         0.0542        20.3720        19.3585        27.3333         0.1224         0.1308         0.0000  -0.0087139625   0.0000001587   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     11     3461.4414      2954.6580         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.7798         0.0000       -42.9604        36.1802       412.9771       410.3699         1.2038        13.7289         0.0542        20.3140        19.2955        27.2408         0.1224         0.1307         0.0000  -0.0087203113   0.0000001590   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     12     3461.4407      2954.6555         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.4613         0.0000       -42.6202        36.1585       412.8182       410.2055         1.1981        14.0398         0.0542        20.2890        19.2072        27.1494         0.1224         0.1307         0.0000  -0.0087266807   0.0000001594   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     13     3461.4409      2954.6541         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         6.0834         0.0000       -42.2518        36.1688       412.6540       410.0361         1.1891        14.3783         0.0542        20.2630        19.1129        27.0587         0.1223         0.1306         0.0000  -0.0087330136   0.0000001597   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     14     3461.4407      2954.6519         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         5.7934         0.0000       -42.1196        36.3260       412.0113       409.3690         1.1886        14.3897         0.0542        20.1490        18.9866        26.9686         0.1223         0.1306         0.0000  -0.0087393541   0.0000001600   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     15     3461.4409      2954.6499         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0087         1.2100         0.0084         0.0000         0.1791         1.0000         5.5004         0.0000       -41.9865        36.4865       411.3692       408.7030         1.1838        14.4026         0.0542        20.0350        18.8602        26.8788         0.1223         0.1305         0.0000  -0.0087456815   0.0000001604   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     16     3461.4399      2954.6477         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         5.7292         0.0000       -42.0634        36.3339       410.9224       408.2375         1.1764        14.2401         0.0542        19.9470        18.8037        26.7903         0.1223         0.1305         0.0000  -0.0087519977   0.0000001607   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     17     3461.4404      2954.6460         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         5.9411         0.0000       -42.1333        36.1926       410.4760       407.7728         1.1781        14.0848         0.0542        19.8590        18.7459        26.7029         0.1222         0.1304         0.0000  -0.0087582897   0.0000001611   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     18     3461.4402      2954.6438         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         5.5263         0.0000       -41.9706        36.4446       409.7593       407.0305         1.1831        14.1143         0.0542        19.7370        18.6018        26.6157         0.1222         0.1304         0.0000  -0.0087646004   0.0000001614   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     19     3461.4407      2954.6426         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         5.0970         0.0000       -41.8012        36.7045       409.0426       406.2882         1.1769        14.1507         0.0542        19.6150        18.4562        26.5287         0.1222         0.1304         0.0000  -0.0087708859   0.0000001618   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     20     3461.4395      2954.6394         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         4.9159         0.0000       -41.8958        36.9802       407.9958       405.2004         1.1784        13.8581         0.0542        19.4160        18.3072        26.4418         0.1222         0.1303         0.0000  -0.0087771807   0.0000001621   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     21     3461.4404      2954.6384         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         4.7356         0.0000       -41.9886        37.2533       406.9574       404.1214         1.1794        13.5690         0.0542        19.2180        18.1590        26.3552         0.1222         0.1303         0.0000  -0.0087834504   0.0000001625   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     22     3461.4402      2954.6365         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         3.7861         0.0000       -38.9369        35.1506       412.9348       410.1233         1.1477        17.5417         0.0542        19.3380        18.5392        26.2740         0.1221         0.1302         0.0000  -0.0087897144   0.0000001628   0.0000000000   0.0000000000   0.0000000000   0.5667750239
      4     23     3461.4397      2954.6340         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0000         0.1791         1.0000         2.4980         0.0000       -35.3867        32.8883       419.7671       416.1320         1.8242        22.7812         0.0542        19.4590        18.9605        26.1986         0.1221         0.1302         0.0837  -0.0233637746   0.0000001632   0.0236535314   0.3654832244   0.0000000000   0.5667750239
      4     24     3461.4392      2954.6316         0.0000         0.0000         0.0000         0.0000         0.0000         0.0001         0.0000         0.0001         0.0000        -0.0088         1.2100         0.0084         0.0002         0.1791         1.0000        -2.5208        -0.6599       -23.4448        26.6256       442.1928       443.1963         3.4646        39.7727         0.0542        19.8340        20.2773        26.1381         0.1221         0.1301         0.0837  -0.0718328431   0.0000001635   0.0542130284   0.3910515606   0.0000000000   0.5667750239
